Table S3 - Differentially expressed genes between paired epithelial and stromal LCM samples (FDR < 0.05)						
GeneSymbol	log2FC	Predicted_Compartment				
SYNE1	2.52	Stromal				
TRAM2	2.51	Stromal				
GUCY1A3	2.51	Stromal				
MFGE8	2.50	Stromal				
RASSF8	2.47	Stromal				
PKD2	2.46	Stromal				
FAM198B	2.46	Stromal				
SERPING1	2.46	Stromal				
VGLL3	2.46	Stromal				
AKAP12	2.44	Stromal				
ABI3BP	2.44	Stromal				
FYB	2.42	Stromal				
LPHN2	2.42	Stromal				
SPSB1	2.42	Stromal				
LAMB1	2.41	Stromal				
AXL	2.41	Stromal				
SORBS1	2.41	Stromal				
TIMP1	2.39	Stromal				
BACE1	2.39	Stromal				
SNAI2	2.38	Stromal				
HLA-DPB1	2.36	Stromal				
PLOD2	2.35	Stromal				
HLA-DPA1	2.34	Stromal				
ITGA1	2.33	Stromal				
CLIC4	2.33	Stromal				
SPG20	2.31	Stromal				
MYO5A	2.31	Stromal				
SAMHD1	2.29	Stromal				
KLF9	2.28	Stromal				
APBB2	2.26	Stromal				
CDKN2B	2.22	Stromal				
CXCL9	2.22	Stromal				
PLSCR4	2.22	Stromal				
GJA1	2.21	Stromal				
CXCR4	2.19	Stromal				
TMEM47	2.18	Stromal				
SYNPO	2.18	Stromal				
11-Sep	2.16	Stromal				
HLA-DQA1	2.15	Stromal				
RORA	2.15	Stromal				
LRRC8C	2.14	Stromal				
AMOTL1	2.13	Stromal				
PEAK1	2.12	Stromal				
RSAD2	2.12	Stromal				
GPX3	2.12	Stromal				
FAM129A	2.07	Stromal				
QKI	2.06	Stromal				
ZNF532	2.05	Stromal				
CITED2	2.04	Stromal				
SPECC1	2.03	Stromal				
MXRA5	2.03	Stromal				
LATS2	2.02	Stromal				
FAM46C	2.00	Stromal				
CFH	2.00	Stromal				
PARVA	1.99	Stromal				
NRP1	1.99	Stromal				
CRTAP	1.98	Stromal				
LCP1	1.98	Stromal				
UACA	1.97	Stromal				
PHLDB2	1.95	Stromal				
SH3PXD2B	1.95	Stromal				
ATXN1	1.95	Stromal				
SEMA3C	1.94	Stromal				
TRIM22	1.92	Stromal				
CDC42EP3	1.89	Stromal				
ZBTB4	1.89	Stromal				
PARD3B	1.88	Stromal				
FOXN3	1.87	Stromal				
NIN	1.87	Stromal				
SASH1	1.87	Stromal				
CDK14	1.86	Stromal				
XYLT1	1.86	Stromal				
MEST	1.86	Stromal				
HSPG2	1.86	Stromal				
SOCS3	1.86	Stromal				
TGFBI	1.83	Stromal				
MMP14	1.83	Stromal				
MAN1A1	1.81	Stromal				
NRP2	1.81	Stromal				
FCHSD2	1.80	Stromal				
SLC46A3	1.78	Stromal				
SSH1	1.78	Stromal				
SKI	1.77	Stromal				
TP53INP1	1.77	Stromal				
CDH6	1.77	Stromal				
UTRN	1.77	Stromal				
TWSG1	1.77	Stromal				
ITPR1	1.77	Stromal				
CD276	1.75	Stromal				
MPRIP	1.75	Stromal				
CTSO	1.75	Stromal				
KDELC2	1.73	Stromal				
RUNX1	1.73	Stromal				
ZMAT3	1.72	Stromal				
KCTD12	1.72	Stromal				
IFI30	1.72	Stromal				
CALCOCO1	1.71	Stromal				
FOXO1	1.71	Stromal				
ABL1	1.70	Stromal				
NR4A2	1.70	Stromal				
TSPYL4	1.67	Stromal				
ETV1	1.66	Stromal				
CALU	1.66	Stromal				
RAI14	1.66	Stromal				
C10orf26	1.66	Stromal				
MARCKS	1.65	Stromal				
TPM1	1.65	Stromal				
HLA-DRA	1.65	Stromal				
CHSY1	1.64	Stromal				
RGS2	1.64	Stromal				
8-Sep	1.63	Stromal				
NAV1	1.63	Stromal				
STAT2	1.63	Stromal				
NR2F2	1.63	Stromal				
ARL4C	1.62	Stromal				
KIAA0355	1.62	Stromal				
NNMT	1.62	Stromal				
CAV1	1.61	Stromal				
DSEL	1.61	Stromal				
LAMC1	1.60	Stromal				
SEC23A	1.60	Stromal				
MYH9	1.60	Stromal				
PLOD1	1.59	Stromal				
ASAP1	1.57	Stromal				
CCDC88A	1.57	Stromal				
KCTD10	1.57	Stromal				
GBP1	1.56	Stromal				
PEA15	1.56	Stromal				
PAG1	1.56	Stromal				
NR3C1	1.54	Stromal				
KLHL5	1.53	Stromal				
ICAM1	1.53	Stromal				
GJB2	1.53	Stromal				
ETS1	1.52	Stromal				
PPIC	1.51	Stromal				
PTEN	1.51	Stromal				
RGS5	1.50	Stromal				
PAM	1.50	Stromal				
PRCP	1.49	Stromal				
CNTLN	1.49	Stromal				
HSPA13	1.49	Stromal				
RBFOX2	1.48	Stromal				
EID1	1.48	Stromal				
