"FAM86C1"	"not unique"
"SULT1B1"	"not unique"
"PLCB4"	"Immunogenic"
"MT1L"	"Squamous"
"AEBP2"	"not unique"
"AQP11"	"not unique"
"LINC00483"	"Progenitor"
"GALNT4"	"Immunogenic"
"AC106876.2"	"not unique"
"PBLD"	"Progenitor"
"FER1L6"	"not unique"
"IRF4"	"Immunogenic"
"SH3RF1"	"not unique"
"HHLA2"	"not unique"
"TRIM15"	"not unique"
"EPB41L4B"	"not unique"
"HNF1A"	"not unique"
"GPR35"	"Progenitor"
"ICK"	"not unique"
"HNF1B"	"not unique"
"SV2B"	"ADEX"
"L1CAM"	"not unique"
"IGHV4-28"	"Immunogenic"
"RP13-25N22.1"	"Progenitor"
"CACNA1D"	"not unique"
"PDXDC1"	"not unique"
"ARHGAP26"	"Progenitor"
"IGHV4-31"	"Immunogenic"
"MTMR12"	"not unique"
"USH1C"	"not unique"
"PTHLH"	"Squamous"
"CLDN23"	"Progenitor"
"ENAM"	"not unique"
"ACRBP"	"Immunogenic"
"SERAC1"	"not unique"
"RP11-294O2.2"	"not unique"
"LCOR"	"not unique"
"MMP15"	"Progenitor"
"B3GNT1"	"not unique"
"PDZD3"	"Progenitor"
"C6orf222"	"not unique"
"ALDH1A1"	"Immunogenic"
"TMEM2"	"not unique"
"ACSS1"	"Immunogenic"
"TMEM144"	"not unique"
"SLC35B3"	"Immunogenic"
"ALAD"	"not unique"
"PRR11"	"Squamous"
"CXADR"	"not unique"
"GLP2R"	"not unique"
"MTMR8"	"not unique"
"MAPK12"	"Squamous"
"FAM149A"	"ADEX"
"IGKV1-17"	"Immunogenic"
"TMEM63A"	"not unique"
"AC027612.6"	"Squamous"
"GAL3ST1"	"not unique"
"CCL15-CCL14"	"not unique"
"HDHD3"	"Progenitor"
"RP11-363E7.4"	"not unique"
"BICD2"	"Squamous"
"REPIN1"	"not unique"
"KIAA1324"	"not unique"
"LINC00152"	"Squamous"
"GJB6"	"Squamous"
"CREB3L1"	"Immunogenic"
"MGST2"	"not unique"
"MAPKBP1"	"Squamous"
"SLC13A2"	"not unique"
"GSTA1"	"not unique"
"TRNP1"	"not unique"
"FKBP11"	"Immunogenic"
"SLC39A13"	"not unique"
"GSTM4"	"not unique"
"NIPAL4"	"Squamous"
"IGKV3D-20"	"Immunogenic"
"RP11-465B22.3"	"Squamous"
"RP11-65J3.1"	"Squamous"
"FZD6"	"Squamous"
"CHDH"	"Immunogenic"
"SLC38A3"	"ADEX"
"CD38"	"Immunogenic"
"ACVR2A"	"not unique"
"ATP8B3"	"Squamous"
"GIPR"	"Progenitor"
"RPS6KL1"	"Progenitor"
"AC156455.1"	"not unique"
"JSRP1"	"Immunogenic"
"CSNK1E"	"Squamous"
"FBP1"	"Progenitor"
"TNFRSF11A"	"Progenitor"
"CD44"	"Squamous"
"TNFSF13"	"not unique"
"SLC1A1"	"Progenitor"
"CEBPB"	"Squamous"
"PHLDB2"	"Squamous"
"FRAT2"	"Immunogenic"
"PLA1A"	"Immunogenic"
"ATP10B"	"Progenitor"
"COL5A3"	"Squamous"
"SPHK1"	"Squamous"
"IGHV1-2"	"Immunogenic"
"SCAMP2"	"not unique"
"IFITM10"	"Squamous"
"PDIA2"	"ADEX"
"VILL"	"Progenitor"
"GFPT1"	"not unique"
"A2ML1"	"Squamous"
"PCNXL4"	"not unique"
"IGLV3-27"	"not unique"
"MAP3K4"	"not unique"
"NR5A2"	"ADEX"
"TBXAS1"	"Immunogenic"
"SLC6A20"	"Progenitor"
"RP11-295K3.1"	"Squamous"
"MPC2"	"not unique"
"AC008040.1"	"Immunogenic"
"RDX"	"Squamous"
"LNX2"	"not unique"
"F11"	"ADEX"
"FAM174B"	"Progenitor"
"PTPLA"	"Squamous"
"PLEKHG5"	"Squamous"
"C1QTNF6"	"Squamous"
"CMSS1"	"not unique"
"AP000439.3"	"Progenitor"
"AC013275.2"	"not unique"
"O3FAR1"	"not unique"
"FZD5"	"Progenitor"
"PSMC1P2"	"not unique"
"NDRG4"	"ADEX"
"ZNF792"	"not unique"
"PLAC8"	"not unique"
"TRIP13"	"Squamous"
"SPTBN1"	"not unique"
"EPHA10"	"Progenitor"
"C11orf92"	"not unique"
"GJA1"	"Squamous"
"RAVER2"	"Immunogenic"
"PAPL"	"Squamous"
"DKK4"	"not unique"
"UHRF2"	"not unique"
"MAGI1"	"not unique"
"IGHV3-64"	"Immunogenic"
"RP11-244F12.3"	"not unique"
"CCDC19"	"Squamous"
"MAN1C1"	"ADEX"
"PYGL"	"Squamous"
"BTNL9"	"Progenitor"
"JARID2"	"Squamous"
"VIL1"	"not unique"
"TMEM50B"	"not unique"
"PCGF5"	"not unique"
"PCDH20"	"not unique"
"NPHS1"	"ADEX"
"SLC6A19"	"not unique"
"SOX12"	"Squamous"
"SLC20A1"	"Squamous"
"SLAIN1"	"not unique"
"SLC9A3"	"not unique"
